,Name,Role,Status,Base_Price,Final_Price,Team
107,Ish Sodhi,Bowler,UNSOLD,50.00  Lakh,-,
108,Rahul Sharma,Bowler,UNSOLD,50.00  Lakh,-,
109,Adil Rashid,Bowler,UNSOLD,1.50  Crore,-,
110,Sheldon Cottrell,Bowler,UNSOLD,1.00  Crore,-,
111,Jhye Richardson,Bowling Allrounder,SOLD,1.50  Crore,14.00  Crore,PBKS
112,Umesh Yadav,Bowler,SOLD,1.00  Crore,1.00  Crore,DC
113,Nathan Coulter-Nile,Bowler,SOLD,1.50  Crore,5.00  Crore,MI
114,Adam Milne,Bowler,SOLD,50.00  Lakh,3.20  Crore,MI
115,Kusal Perera,WK-Batsman,UNSOLD,50.00  Lakh,-,
116,Alex Carey,WK-Batsman,UNSOLD,1.50  Crore,-,
117,Glenn Phillips,WK-Batsman,UNSOLD,50.00  Lakh,-,
118,Dawid Malan,Batsman,SOLD,1.50  Crore,1.50  Crore,PBKS
119,Chris Morris,Bowling Allrounder,SOLD,75.00  Lakh,16.25  Crore,RR
120,Shivam Dube,Bowling Allrounder,SOLD,50.00  Lakh,4.40  Crore,RR
121,Moeen Ali,Batting Allrounder,SOLD,2.00  Crore,7.00  Crore,CSK
122,Shakib Al Hasan,Batting Allrounder,SOLD,2.00  Crore,3.20  Crore,KKR
123,Glenn Maxwell,Batting Allrounder,SOLD,2.00  Crore,14.25  Crore,RCB
124,Aaron Finch,Batsman,UNSOLD,1.00  Crore,-,
125,Evin Lewis,Batsman,UNSOLD,1.00  Crore,-,
126,Steven Smith,Batsman,SOLD,2.00  Crore,2.20  Crore,DC
127,Jason Roy,Batsman,UNSOLD,2.00  Crore,-,
128,Alex Hales,Batsman,UNSOLD,1.50  Crore,-,
